commit_date,gc_orgID,harmonized_name,nom_harmonisé,abbreviation,abreviation,infobaseID,rg,ati,open_gov_ouvert,pop,phoenix,website,site_web
2025-07-16T14:02:25Z,2245.0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,63.0,7.0,Impact Assessment Agency of Canada,iaac-aeic,IAA,DOE01,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html
2025-03-25T15:52:41-04:00,2245.0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,63.0,,Impact Assessment Agency of Canada,iaac-aeic,IAA,DOE01,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html
2025-03-18T14:15:13Z,2245.0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,63.0,7.0,Impact Assessment Agency of Canada,iaac-aeic,IAA,DOE01,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html
2025-02-11T16:09:31-05:00,2245.0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,63.0,,Impact Assessment Agency of Canada,iaac-aeic,IAA,DOE01,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html
2025-06-24T16:27:00Z,2257.0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,CED,DEC,141.0,12.0,Economic Development Agency of Canada for the Regions of Quebec,ced-dec,FRD,FRD00,www.dec-ced.gc.ca,www.dec-ced.gc.ca
2025-05-02T20:56:18Z,2269.0,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,237.0,,Office of Infrastructure of Canada,infc,HIC,INF00,https://housing-infrastructure.canada.ca/,https://housing-infrastructure.canada.ca/
2025-02-18T20:04:41Z,2269.0,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,237.0,142.0,Office of Infrastructure of Canada,infc,HIC,INF00,,
2025-03-25T15:52:41-04:00,2269.0,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,237.0,142.0,Office of Infrastructure of Canada,infc,HIC,INF00,https://housing-infrastructure.canada.ca/,https://housing-infrastructure.canada.ca/
2025-01-06T14:07:30-05:00,2269.0,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,237.0,142.0,Office of Infrastructure of Canada,infc,INF,INF00,,
2025-03-18T14:15:13Z,2276.0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,247.0,88.0,Office of the Correctional Investigator of Canada,oci-bec,OCI,,www.oci-bec.gc.ca,www.oci-bec.gc.ca
