commit_date,gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut,French Name,Original English Name,Names Match
2025-11-17T22:33:14Z,﻿gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut,French Name,Original English Name
2025-11-17T22:33:14Z,3578,Management Advisory Board for the RCMP,Conseil consultatif de gestion pour la GRC,Management Advisory Board for the RCMP,Conseil consultatif de gestion pour la GRC,,,,,,,,,a,,
2025-11-17T22:33:14Z,3575,Judicial Compensation and Benefits Commission,Commission d'examen de la rémunération des juges,Judicial Compensation and Benefits Commission,Commission d'examen de la rémunération des juges,,,,,,,,,a,,
2025-11-17T22:33:14Z,3574,Intergovernmental Affairs,Affaires intergouvernementales,Intergovernmental Affairs,Affaires intergouvernementales,,,,,,,,,a,,
2025-11-17T22:33:14Z,3573,Independent Review Panel for Defence Acquisition,Commission indépendante d'examen des acquisitions de la Défense,Independent Review Panel for Defence Acquisition,Commission indépendante d'examen des acquisitions de la Défense,,,,,,,,,a,,
2025-11-17T22:33:14Z,3572,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3571,Office of the Federal Ombudsperson for Victims Of Crime,Bureau de l'ombudsman fédéral des victimes d'actes criminels,Office of the Federal Ombudsperson for Victims Of Crime,Bureau de l'ombudsman fédéral des victimes d'actes criminels,,,Department of Justice Canada,Department of Justice Canada,Ministère de la Justice Canada,,,,a,,
2025-11-17T22:33:14Z,3570,Federal Court of Canada,Cour fédérale,Federal Court of Canada,Cour fédérale,,,,,,,,,a,,
2025-11-17T22:33:14Z,3569,Federal Court of Appeal,Cour d'appel fédérale,Federal Court of Appeal,Cour d'appel fédérale,,,,,,,,,a,,
2025-11-17T22:33:14Z,3568,Environmental Protection Review Canada,Révision de la protection de l'environnement Canada,Environmental Protection Review Canada,Révision de la protection de l'environnement Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3566,Democratic Institutions,Institutions démocratiques,Democratic Institutions,Institutions démocratiques,,,,,,,,,a,,
2025-11-17T22:33:14Z,3565,Court Martial Appeal Court of Canada,Cour d'appel de la cour martiale du Canada,Court Martial Appeal Court of Canada,Cour d'appel de la cour martiale du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3564,Competition Tribunal,Tribunal de la concurrence,Competition Tribunal,Tribunal de la concurrence,,,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",,,,a,,
2025-11-17T22:33:14Z,3563,Competition Bureau Canada,Bureau de la concurrence Canada,Competition Bureau Canada,Bureau de la concurrence Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3562,Communications Research Centre Canada,Centre de recherches sur les communications Canada,Communications Research Centre Canada,Centre de recherches sur les communications Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3561,Canadian War Museum,Musée canadien de la guerre,Canadian War Museum,Musée canadien de la guerre,,,,,,,,,a,,
2025-11-17T22:33:14Z,3560,Canadian Trade Commissioner Service,Service des délégués commerciaux du Canada,Canadian Trade Commissioner Service,Service des délégués commerciaux du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3559,Canadian Special Operations Forces Command,Commandement des Forces d'opérations spéciales du Canada,Canadian Special Operations Forces Command,Commandement des Forces d'opérations spéciales du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3558,Canadian Judicial Council,Conseil canadien de la magistrature,Canadian Judicial Council,Conseil canadien de la magistrature,,,,,,,,,a,,
2025-11-17T22:33:14Z,3557,Canadian Army,Armée canadienne,Canadian Army,Armée canadienne,,,National Defence,National Defence,Défense nationale,,,,a,,
