gc_orgID,infobaseID
2222,1
2223,122
2224,123
2225,124
2226,125
2227,126
2228,127
2229,128
2230,129
2231,130
2232,132
2233,133
2234,134
2235,135
2236,136
2237,137
2238,138
2239,139
2240,140
2241,246
2242,326
2243,348
2244,12
2245,63
2246,69
2247,71
2248,76
2249,86
2250,94
2251,95
2252,99
2253,110
2254,114
2255,117
2256,118
2257,141
2258,150
2259,151
2260,152
2261,174
2262,199
2263,209
2264,210
2265,222
2266,223
2267,227
2268,235
2269,237
2270,238
2271,239
2272,240
2273,241
2274,242
2275,244
2276,247
2277,248
2278,249
2279,250
2280,253
2281,256
2282,256
2283,266
2284,278
2285,280
2286,282
2287,288
2288,295
2289,296
2290,297
2291,302
2292,305
2293,313
2294,333
2295,345
2296,350
2297,539
2298,560
2299,561
2300,26
2301,32
2302,33
2303,46
2304,47
2305,55
2306,65
2307,74
2308,87
2309,98
2310,198
2311,218
2312,221
2313,228
2314,230
2315,263
2316,306
2317,347
2318,552
2319,558
2396,93
3399,7
3400,8
3401,103
3402,145
3403,181
3404,183
3405,185
3406,187
3407,189
3408,190
3409,191
3410,192
3411,213
3412,233
3413,341
3414,351
3415,201
3416,234
3417,108
3418,252
3419,273
3420,342
3421,538
3422,541
3423,542
3424,543
3425,545
3426,553
3427,555
3428,2
3429,200
3430,245
3431,251
3432,303
3433,346
3434,554
3435,5
3436,6
3437,9
3438,11
3439,16
3440,19
3441,21
3442,22
3443,35
3444,36
3445,37
3446,38
3447,41
3448,48
3449,49
3450,50
3451,56
3452,62
3453,73
3454,80
3455,89
3456,90
3457,96
3458,105
3459,107
3461,142
3462,156
3463,158
3464,164
3465,165
3466,166
3467,167
3468,168
3469,169
3470,180
3471,182
3472,188
3473,195
3474,203
3475,206
3476,208
3477,212
3478,214
3479,231
3480,232
3481,258
3482,259
3483,260
3484,269
3485,270
3486,271
3488,275
3489,276
3490,286
3491,287
3492,293
3493,298
3494,299
3495,300
3496,301
3497,304
3498,308
3499,309
3500,310
3501,311
3502,316
3503,318
3504,319
3506,321
3507,327
3508,328
3509,329
3510,330
3511,335
3512,336
3513,337
3514,338
3515,340
3516,547
3517,559
3518,4
3519,28
3520,68
3521,78
3522,100
3523,104
3524,153
3525,155
3526,171
3527,184
3528,277
3531,196
3532,332
3533,57
3534,59
3535,67
3536,70
3537,75
3538,88
3539,115
3540,120
3541,175
3542,204
3543,268
3544,323
3545,112
3546,179
3547,264
3564,289
3577,2
3579,302
3583,133
3587,290
3615,61
3616,147
3618,29
3619,53
3620,81
3621,82
3622,84
3623,85
3624,92
3625,217
3626,224
3627,226
3629,315
3630,320
3631,42
3632,307
3633,15
3634,30
3635,31
3636,43
3637,294
3638,157
3639,58
3640,146
3641,186
3642,344
3643,194
3644,339
3645,272
3646,20
3647,97
3648,312
3649,14
3650,40
3651,44
3652,119
3653,219
3654,13
3655,51
3656,163
3657,197
3658,202
3659,261
3660,292
3661,148
3662,334
3663,281
3664,10
3665,17
3666,34
3667,116
3668,143
3669,154
3670,162
3671,170
3672,177
3673,193
3674,207
3675,229
3676,279
3679,24
3680,39
3681,52
3682,60
3683,72
3684,77
3685,79
3686,18
3687,243
3688,254
3689,257
3690,262
3691,267
3692,284
3693,285
3694,289
3695,290
3696,291
3697,324
3698,331
3700,317
3701,274
3702,121
3703,563
3704,326
3706,564
3707,562
3708,565
3709,566
3710,567
3711,568
