gc_orgID,GCOrg_legal_title,GCOrg_abbreviation,Candidate_infobaseID,Candidate_legal_title,Candidate_status,Candidate_end_fin,MatchScore,SecondBestScore,ReviewReasons
3702,2010 Games Operating Trust Society,,121,2010 Games Operating Trust Society,a,,100,61,
3518,Aboriginal Healing Foundation,,4,Aboriginal Healing Foundation,d,2013,100,63,
2297,Administrative Tribunals Support Service of Canada,,539,Administrative Tribunals Support Service of Canada,a,,100,78,
3435,Aéroport de Québec Inc.,,5,Aéroport de Québec Inc.,a,,100,65,
3436,Aéroports de Montréal,,6,Aéroports de Montréal,a,,100,68,
3399,African Development Bank,,7,African Development Bank,a,,100,91,
3400,Asian Development Bank,,8,Asian Development Bank,a,,100,91,
3414,Asian Infrastructure Investment Bank,,351,Asian Infrastructure Investment Bank,a,,100,84,
3437,Asia-Pacific Foundation of Canada,,9,Asia-Pacific Foundation of Canada,a,,100,78,
3664,Assisted Human Reproduction Agency of Canada,,10,Assisted Human Reproduction Agency of Canada,d,2012,100,81,
3438,Association of Canada Lands Surveyors,,11,Association of Canada Lands Surveyors,a,,100,82,
2244,Atlantic Canada Opportunities Agency,,12,Atlantic Canada Opportunities Agency,a,,100,81,
3654,Atlantic Pilotage Authority,,13,Atlantic Pilotage Authority,a,,100,85,
3649,Atomic Energy of Canada Limited,,14,Atomic Energy of Canada Limited,a,,100,78,
3633,Bank of Canada,,15,Bank of Canada,a,,100,100,collision_top2_close
3439,Belledune Port Authority,,16,Belledune Port Authority,a,,100,80,
3665,Blue Water Bridge Authority,,17,Blue Water Bridge Authority,d,2015,100,74,
3440,Buffalo and Fort Erie Public Bridge Authority,,19,Buffalo and Fort Erie Public Bridge Authority,a,,100,74,
3646,Business Development Bank of Canada,,15,Bank of Canada,a,,100,100,collision_top2_close
3441,Calgary Airport Authority,,21,Calgary Airport Authority,a,,100,80,
3679,Canada Agricultural Review Tribunal,,24,Canada Agricultural Review Tribunal,t,2013,100,75,
2300,Canada Border Services Agency,,26,Canada Border Services Agency,a,,100,81,
3519,Canada Commonwealth Legacy Fund,,28,Canada Commonwealth Legacy Fund,d,2014,100,78,
3618,Canada Council for the Arts,,29,Canada Council for the Arts,a,,100,82,
3634,Canada Deposit Insurance Corporation,,30,Canada Deposit Insurance Corporation,a,,100,87,
3635,Canada Development Investment Corporation,,31,Canada Development Investment Corporation,a,,100,87,
2301,Canada Emission Reduction Incentives Agency,,32,Canada Emission Reduction Incentives Agency,a,,100,81,
2302,Canada Employment Insurance Commission,,33,Canada Employment Insurance Commission,a,,100,83,
3666,Canada Employment Insurance Financing Board,,34,Canada Employment Insurance Financing Board,d,2013,100,83,
3443,Canada Foundation for Innovation,,35,Canada Foundation for Innovation,a,,100,79,
3444,Canada Foundation for Sustainable Development Technology,,36,Canada Foundation for Sustainable Development Technology,a,,100,83,
3445,Canada Games Council,,37,Canada Games Council,a,,100,82,
3446,Canada Health Infoway Inc.,,38,Canada Health Infoway Inc.,a,,100,83,
3680,Canada Industrial Relations Board,,39,Canada Industrial Relations Board,t,2014,100,75,
3642,Canada Infrastructure Bank,,344,Canada Infrastructure Bank,a,,100,88,
3421,Canada Investment and Savings,,538,Canada Investment and Savings,a,,100,75,
