gc_orgID,GCOrg_legal_title,GCOrg_abbreviation,Candidate_infobaseID,Candidate_legal_title,Candidate_status,Candidate_end_fin,MatchScore,SecondBestScore,ReviewReasons
3561,Canadian War Museum,,81,Canadian Museum for Human Rights,a,,88,88,low_score;collision_top2_close
3562,Communications Research Centre Canada,,232,NAV CANADA,a,,75,72,low_score
3563,Competition Bureau Canada,,232,NAV CANADA,a,,75,66,low_score
3705,Federal Public Sector Labour Relations and Employment Board,,284,Public Service Labour Relations Board,t,2014,87,66,low_score
3605,Geological Survey of Canada,,15,Bank of Canada,a,,78,75,low_score
3606,Geomatics Canada,,232,NAV CANADA,a,,75,72,low_score
3572,Historic Sites and Monuments Board of Canada,,227,Parole Board of Canada,a,,81,78,low_score
3574,Intergovernmental Affairs,,76,Canadian Intergovernmental Conference Secretariat,a,,80,54,low_score
3611,Office of the Chief Science Advisor of Canada,,254,Office of the Umpire,t,2013,78,78,low_score;collision_top2_close
3571,Office of the Federal Ombudsperson for Victims Of Crime,,254,Office of the Umpire,t,2013,78,71,low_score
3585,Office of the Procurement Ombudsman,,254,Office of the Umpire,t,2013,78,67,low_score
3594,Office of the Taxpayers' Ombudsperson,,254,Office of the Umpire,t,2013,78,61,low_score
3595,Office of the Veterans' Ombudsman,,254,Office of the Umpire,t,2013,78,66,low_score
3612,Policy Horizons Canada,,232,NAV CANADA,a,,75,66,low_score
3591,Service Canada,,47,Canada School of Public Service,a,,100,100,collision_top2_close
3613,Ship and Rail Compensation Canada,,232,NAV CANADA,a,,75,73,low_score;collision_top2_close
