rgnumber,rg_dept_en,rg_dept_fr
001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire
002,Office of the Auditor General,Bureau du vérificateur général
004,Public Service Commission,Commission de la fonction publique
005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement"
006,Department of Finance,Ministère des Finances
007,Department of the Environment,Ministère de l'Environnement
008,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général
009,Senate,Sénat
011,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières
012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec
013,Department of Justice,Ministère de la Justice
014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social
015,Office of the Chief Electoral Officer,Bureau du directeur général des élections
016,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
017,Library of Parliament,Bibliothèque du Parlement
018,Department of National Defence,Ministère de la Défense nationale
019,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales
021,Department of Veterans Affairs,Ministère des Anciens Combattants
022,Department of Health,Ministère de la Santé
023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
024,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne)
025,Privy Council Office,Bureau du Conseil privé
027,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie
030,Royal Canadian Mounted Police,Gendarmerie royale du Canada
032,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié
033,Department of Industry,Ministère de l'Industrie
034,Department of Transport,Ministère des Transports
035,National Research Council of Canada,Conseil national de recherches du Canada
037,Telefilm Canada,Téléfilm Canada
038,Canada Border Services Agency - (Administered Activities),Agence des services frontaliers du Canada - (activités administrées)
039,National Film Board,Office national du film
040,Canadian Transportation Agency,Office des transports du Canada
041,Department of Natural Resources,Ministère des Ressources naturelles
042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord
043,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
044,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien
046,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public
047,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration
051,Office of the Commissioner for Federal Judicial Affairs,Bureau du commissaire à la magistrature fédérale
052,Canada School of Public Service,École de la fonction publique du Canada
053,Correctional Service of Canada,Service correctionnel du Canada
054,Statistics Canada,Statistique Canada
056,Treasury Board Secretariat,Secrétariat du Conseil du Trésor
057,Parole Board of Canada,Commission des libérations conditionnelles du Canada
061,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
062,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
063,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines
066,Northern Pipeline Agency,Administration du pipe-line du Nord
067,House of Commons,Chambre des communes
075,Canadian Human Rights Commission,Commission canadienne des droits de la personne
076,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
078,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
079,Payroll System General Ledger,Grand livre général du système de la paye
080,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada
085,Canada Border Services Agency,Agence des services frontaliers du Canada
086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans
087,Public Service Superannuation,Pension de retraite de la fonction publique
088,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile
091,Canada Mortgage and Housing Corporation (Crown Corporation),Société canadienne d'hypothèques et de logement (Société d'État)
095,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
096,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l'information et à la protection de la vie privée au Canada
097,Receiver General,Receveur général
100,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
101,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports
102,The National Battlefields Commission,Commission des champs de bataille nationaux
109,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés
116,Copyright Board,Commission du droit d'auteur
119,Canadian Space Agency,Agence spatiale canadienne
122,Canada Revenue Agency - (Administered Activities),Agence du revenu du Canada - (activités administrées)
123,Export Development Canada (Crown Corporation),Exportation et développement Canada (Société d'État)
124,Parks Canada Agency,Agence Parcs Canada
127,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux
130,Canada Revenue Agency,Agence du revenu du Canada
131,Law Commission of Canada,Commission du droit du Canada
133,Canadian Grain Commission,Commission canadienne des grains
134,Canadian Dairy Commission,Commission canadienne du lait
135,Department of Canadian Heritage,Ministère du Patrimoine canadien
136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
137,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire
138,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires
139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
141,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
144,Courts Administration Service,Service administratif des tribunaux judiciaires
145,Library and Archives of Canada,Bibliothèque et Archives du Canada
147,Office of the Conflict of Interest and Ethics Commissioner,Bureau du commissaire aux conflits d'intérêts et à l'éthique
148,Public Health Agency of Canada,Agence de la santé publique du Canada
151,Office of the Senate Ethics Officer,Bureau du conseiller sénatorial en éthique
154,Office of the Commissioner of Lobbying,Commissariat au lobbying
163,Shared Services Canada,Services partagés Canada
165,Communications Security Establishment,Centre de la sécurité des télécommunications
170,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
171,Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique
176,Parliamentary Protective Service,Service de protection parlementaire
180,Invest in Canada Hub,Investir au Canada
183,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget
190,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres
191,Department of Indigenous Services,Ministère des Services aux Autochtones
192,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
193,Leaders' Debates Commission,Commission des débats des chefs
195,Canadian Energy Regulator,Régie canadienne de l'énergie
196,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement
197,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
199,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité
200,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario
240,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada
242,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités"
