RGOriginalName,rgnumber,MatchedName,MatchScore,gc_orgID,CandidateCollision
Administrative Tribunals Support Service of Canada,170,Administrative Tribunals Support Service of Canada,100.0,2297,True
Public Service Superannuation,087,Administrative Tribunals Support Service of Canada,85.5,2297,True
Atlantic Canada Opportunities Agency,023,Atlantic Canada Opportunities Agency,100.0,2244,False
Canada Border Services Agency,085,Canada Border Services Agency,100.0,2300,True
Canada Border Services Agency - (Administered Activities),038,Canada Border Services Agency,90.0,2300,True
Canada Mortgage and Housing Corporation (Crown Corporation),091,Canada Mortgage and Housing Corporation,90.0,3631,False
Canada Revenue Agency,130,Canada Revenue Agency,100.0,2303,True
Canada Revenue Agency - (Administered Activities),122,Canada Revenue Agency,90.0,2303,True
Canada School of Public Service,052,Canada School of Public Service,100.0,2304,False
Canadian Accessibility Standards Development Organization,199,Canadian Accessibility Standards Development Organization,100.0,2319,False
Canadian Centre for Occupational Health and Safety,100,Canadian Centre for Occupational Health and Safety,100.0,2305,False
Canadian Dairy Commission,134,Canadian Dairy Commission,100.0,3615,False
Canadian Energy Regulator,195,Canadian Energy Regulator,100.0,2312,False
Canadian Food Inspection Agency,136,Canadian Food Inspection Agency,100.0,2306,False
Canadian Grain Commission,133,Canadian Grain Commission,100.0,2246,False
Canadian High Arctic Research Station,171,Canadian High Arctic Research Station,100.0,2318,False
Canadian Human Rights Commission,075,Canadian Human Rights Commission,100.0,2247,False
Canadian Institutes of Health Research,061,Canadian Institutes of Health Research,100.0,2307,False
Canadian Intergovernmental Conference Secretariat,043,Canadian Intergovernmental Conference Secretariat,100.0,2248,False
Canadian Northern Economic Development Agency,078,Canadian Northern Economic Development Agency,100.0,2249,False
Canadian Nuclear Safety Commission,047,Canadian Nuclear Safety Commission,100.0,2308,False
Canadian Radio-television and Telecommunications Commission,016,Canadian Radio-television and Telecommunications Commission,100.0,2396,False
Canadian Security Intelligence Service,095,Canadian Security Intelligence Service,100.0,2250,False
Canadian Space Agency,119,Canadian Space Agency,100.0,2251,False
Canadian Transportation Accident Investigation and Safety Board,101,Canadian Transportation Accident Investigation and Safety Board,100.0,2309,False
Canadian Transportation Agency,040,Canadian Transportation Agency,100.0,2252,False
Communications Security Establishment,165,Communications Security Establishment,100.0,2253,False
Copyright Board,116,Copyright Board,100.0,2254,False
Correctional Service of Canada,053,Correctional Service of Canada,100.0,2255,False
Courts Administration Service,144,Courts Administration Service,100.0,2256,False
Department for Women and Gender Equality,190,Department for Women and Gender Equality,100.0,2241,False
