ID de la personne,Precedence,Titre honorifique,Prénom,Nom de famille,Titre,Province / Territoire,Date de début,Date de fin
28286,1,Le très hon.,Mark,Carney,Premier ministre,,2025-03-14 11 h 31 min 00 s,
110339,2,L’hon.,Shafqat,Ali,Président du Conseil du Trésor,,2025-05-13 10 h 45 min 00 s,
123675,3,L’hon.,Rebecca,Alty,Ministre des Relations Couronne-Autochtones,,2025-05-13 10 h 45 min 00 s,
96081,4,L’hon.,Anita,Anand,Ministre des Affaires étrangères,,2025-05-13 10 h 45 min 00 s,
89449,5,L’hon.,Gary,Anandasangaree,Ministre de la Sécurité publique,,2025-05-13 10 h 45 min 00 s,
88633,6,L’hon.,François-Philippe,Champagne,Ministre des Finances et du Revenu national,,2025-05-13 10 h 45 min 00 s,
89464,7,L’hon.,Rebecca,Chartrand,Ministre des Affaires du Nord et de l’Arctique,,2025-05-13 10 h 45 min 00 s,
88994,8,L’hon.,Julie,Dabrusin,"Ministre de l’Environnement, du Changement climatique et de la Nature",,2025-12-01 15 h 06 min 00 s,
109915,9,L’hon.,Lena Metlege,Diab,"Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",,2025-05-13 10 h 45 min 00 s,
88316,10,L’hon.,Sean,Fraser,Ministre de la Justice,,2025-05-13 10 h 45 min 00 s,
122492,11,L’hon.,Mandy,Gull-Masty,Ministre des Services aux Autochtones,,2025-05-13 10 h 45 min 00 s,
88984,12,L’hon.,Patty,Hajdu,Ministre de l’Emploi et des Familles,,2025-05-13 10 h 45 min 00 s,
123019,13,L’hon.,Tim,Hodgson,Ministre de l’Énergie et des Ressources naturelles,,2025-05-13 10 h 45 min 00 s,
88384,14,L’hon.,Mélanie,Joly,Ministre de l’Industrie,,2025-05-13 10 h 45 min 00 s,
1813,15,L’hon.,Dominic,LeBlanc,Ministre du Commerce intérieur,,2025-09-16 16 h 00 min 00 s,
88532,16,L’hon.,Joël,Lightbound,"Ministre de la Transformation du gouvernement, des Travaux publics et de l’Approvisionnement et lieutenant du Québec",,2025-12-01 15 h 06 min 00 s,
109891,17,L’hon.,Heath,MacDonald,Ministre de l’Agriculture et de l’Agroalimentaire,,2025-05-13 10 h 45 min 00 s,
88468,18,L’hon.,Steven,MacKinnon,Ministre des Transports,,2025-09-16 16 h 00 min 00 s,
9486,19,L’hon.,David,McGuinty,Ministre de la Défense nationale,,2025-05-13 10 h 45 min 00 s,
123556,20,L’hon.,Jill,McKnight,Ministre des Anciens Combattants,,2025-05-13 10 h 45 min 00 s,
122684,21,L’hon.,Marjorie,Michel,Ministre de la Santé,,2025-05-13 10 h 45 min 00 s,
88660,22,L’hon.,Marc,Miller,Ministre de l’Identité et de la Culture canadiennes,,2025-12-01 15 h 06 min 00 s,
89171,23,L’hon.,Eleanor,Olszewski,Ministre de la Gestion des urgences et de la Résilience des communautés,,2025-05-13 10 h 45 min 00 s,
123644,24,L’hon.,Gregor,Robertson,Ministre du Logement et de l’Infrastructure,,2025-05-13 10 h 45 min 00 s,
105045,25,L’hon.,Maninder,Sidhu,Ministre du Commerce international,,2025-05-13 10 h 45 min 00 s,
123229,26,L’hon.,Evan,Solomon,Ministre de l’Intelligence artificielle et de l’Innovation numérique,,2025-05-13 10 h 45 min 00 s,
109877,27,L'hon.,Joanne,Thompson,Ministre des Pêches,,2025-05-13 10 h 45 min 00 s,
110538,28,L’hon.,Rechie,Valdez,Secrétaire d’État (Petites Entreprises et Tourisme),,2025-05-13 10 h 45 min 00 s,
110791,29,L’hon.,Buckley,Belanger,Secrétaire d’État (Développement rural),,2025-05-13 10 h 45 min 00 s,
89279,30,L’hon.,Stephen,Fuhr,Secrétaire d’État (Approvisionnement en matière de défense),,2025-05-13 10 h 45 min 00 s,
115736,31,L’hon.,Anna,Gainey,Secrétaire d’État (Enfance et Jeunesse),,2025-05-13 10 h 45 min 00 s,
88368,32,L’hon.,Wayne,Long,Secrétaire d’État (Agence du revenu du Canada et Institutions financières),,2025-05-13 10 h 45 min 00 s,
123563,33,L’hon.,Stephanie,McLean,Secrétaire d’État (Aînés),,2025-05-13 10 h 45 min 00 s,
122552,34,L’hon.,Nathalie,Provost,Secrétaire d’État (Nature),,2025-05-13 10 h 45 min 00 s,
88698,35,L’hon.,Ruby,Sahota,Secrétaire d’État (Lutte contre la criminalité),,2025-05-13 10 h 45 min 00 s,
89339,36,L’hon.,Randeep,Sarai,Secrétaire d’État (Développement international),,2025-05-13 10 h 45 min 00 s,
105242,37,L’hon.,Adam,van Koeverden,Secrétaire d’État (Sports),,2025-05-13 10 h 45 min 00 s,
122925,38,L’hon.,John,Zerucelli,Secrétaire d’État (Travail),,2025-05-13 10 h 45 min 00 s,
