minID,March2025,May2025
m0001,Prime Minister,Prime Minister
m0002,Minister of Agriculture and Agri-Food and Rural Economic Development,Minister of Agriculture and Agri-Food
m0003,,
m0004,"Minister of Government Transformation, Public Services and Procurement","Minister of Government Transformation, Public Works and Procurement"
m0005,Minister of Foreign Affairs and International Development,Minister of Foreign Affairs
m0006,"Minister of Fisheries, Oceans and the Canadian Coast Guard",Minister of Fisheries
m0007,,
m0008,Minister of Indigenous Services,Minister of Indigenous Services
m0009,"Minister of Innovation, Science" and Industry",Minister of Industry
m0010,,
m0011,Minister of Innovation, Science and Industry,	President of the Treasury Board
m0012,Minister of National Defence,Minister of National Defence
m0013,Minister of International Trade and Intergovernmental Affairs,Minister of International Trade
m0014,Minister of Energy and Natural Resources,Minister of Energy and Natural Resources
m0015,Minister of Transport and Internal Trade,Minister of Transport and Internal Trade
m0016,Minister of Environment and Climate Change,Minister of Environment and Climate Change
m0017,"Minister of Immigration, Refugees and Citizenship","Minister of Immigration, Refugees and Citizenship"	
m0018,Minister of Health,Minister of Health
m0019,,
m0020,,
m0021,,
m0022,"Minister of Canadian Culture and Identity, Parks Canada",Minister of Canadian Identity and Culture	
m0023,Chief government whip,
m0024,Minister of Crown-Indigenous Relations and Northern Affairs,Minister of Crown-Indigenous Relations
m0025,,
m0026,,
m0027,,
m0028,Minister of Jobs and Families,Minister of Jobs and Families
m0029,,
m0030,,
m0031,Minister of Public Safety and Emergency Preparedness,Minister of Public Safety
m0032,Minister of Democratic Institutions,
m0033,,
m0034,,
m0035,,
m0036,"Minister of Housing, Infrastructure and Communities",Minister of Housing and Infrastructure	
m0037,Minister of Veterans Affairs,Minister of Veterans Affairs
m0038,,
m0039,Minister of Finance,Minister of Finance and National Revenue
