rgnumber,rg_dept_en,rg_dept_fr
175,FRPD Testing Only Department,FRPD Testing Only Department
159,Receiver General-Year End Adjusting Entries,Entrées de fin d'exercice du Receveur général
154,Office of the Commissioner of Lobbying,Commissariat au lobbying
152,Assisted Human Reproduction Agency of Canada,Agence canadienne de contrôle de la procréation assistée
153,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions
151,Office of the Senate Ethics Officer,Bureau du conseiller sénatorial en éthique
150,Indian Specific Claims Commission,Commission des revendications particulières des Indiens
148,Public Health Agency of Canada,Agence de la santé publique du Canada
149,Office of Indian Residential Schools Resolution of Canada,Bureau du Canada sur le règlement des questions des pensionnats autochtones
147,Office of the Conflict of Interest and Ethics Commissioner,Bureau du commissaire aux conflits d'intérêts et à l'éthique
146,Public Service Human Resource Management Agency of Canada,Agence de gestion des ressources humaines de la fonction publique du Canada
145,Library and Archives of Canada,Bibliothèque et Archives du Canada
143,Canadian Firearms Centre,Centre canadien des armes à feu
144,Courts Administration Service,Service administratif des tribunaux judiciaires
142,Office of Infrastructure of Canada,Bureau de l'infrastructure du Canada
141,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
140,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne
139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
138,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires
137,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire
135,Department of Canadian Heritage,Ministère du Patrimoine canadien
136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
134,Canadian Dairy Commission,Commission canadienne du lait
133,Canadian Grain Commission,Commission canadienne des grains
131,Law Commission of Canada,Commission du droit du Canada
130,Canada Revenue Agency,Agence du revenu du Canada
128,Communication Canada,Communication Canada
127,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux
126,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie
125,Canadian Artists and Producers Professional Relations Tribunal,Tribunal canadien des relations professionnelles artistes-producteurs
124,Parks Canada Agency,Agence Parcs Canada
123,Export Development Canada (Crown Corporation),Exportation et développement Canada (Société d'État)
122,Canada Revenue Agency - (Administered Activities),Agence du revenu du Canada - (activités administrées)
116,Copyright Board,Commission du droit d'auteur
