,English Name,French Name,FAA
0,Atlantic Pilotage Authority,Administration de pilotage de l’Atlantique,3
1,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",3
2,Build Canada Homes,Maisons Canada,3
3,Business Development Bank of Canada,Banque de développement du Canada,3
4,Canada Deposit Insurance Corporation,Société d’assurance-dépôts du Canada,3
5,Canada Infrastructure Bank,Banque de l’infrastructure du Canada,3
6,Canada Lands Company Limited,Société immobilière du Canada Limitée,3
7,Canada Mortgage and Housing Corporation,Société canadienne d’hypothèques et de logement,3
8,Canada Post Corporation,Société canadienne des postes,3
9,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,3
10,Canadian Commercial Corporation,Corporation commerciale canadienne,3
11,Canadian Dairy Commission,Commission canadienne du lait,3
12,Canadian Museum for Human Rights,Musée canadien des droits de la personne,3
13,Canadian Museum of History,Musée canadien de l’histoire,3
14,Canadian Museum of Immigration at Pier 21,Musée canadien de l’immigration du Quai 21,3
15,Canadian Museum of Nature,Musée canadien de la nature,3
16,Canadian Tourism Commission,Commission canadienne du tourisme,3
17,Defence Construction (1951) Limited,Construction de défense (1951) Limitée,3
18,Export Development Canada,Exportation et développement Canada,3
19,Farm Credit Canada,Financement agricole Canada,3
20,The Federal Bridge Corporation Limited,La Société des ponts fédéraux Limitée,3
21,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d’eau douce,3
22,Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs,3
23,The Jacques-Cartier and Champlain Bridges Inc.,Les Ponts Jacques-Cartier et Champlain Inc.,3
24,Laurentian Pilotage Authority,Administration de pilotage des Laurentides,3
25,Marine Atlantic Inc.,Marine Atlantique S.C.C.,3
26,National Capital Commission,Commission de la capitale nationale,3
27,National Gallery of Canada,Musée des beaux-arts du Canada,3
28,National Museum of Science and Technology,Musée national des sciences et de la technologie,3
29,Pacific Pilotage Authority,Administration de pilotage du Pacifique,3
30,Standards Council of Canada,Conseil canadien des normes,3
31,VIA Rail Canada Inc.,VIA Rail Canada Inc.,3
32,Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit,3
33,Canada Development Investment Corporation,Corporation d’investissements au développement du Canada,3
34,Royal Canadian Mint,Monnaie royale canadienne,3
