harmonized_name,nom_harmonisé,abbreviation,abreviation,infobaseID,rg,ati,open_gov_ouvert,pop,phoenix,website,site_web,commit_date
3653,National Capital Commission,Commission de la capitale nationale,,,219,127,National Capital Commission,,NCC,,www.ncc-ccn.gc.ca,2025-07-16 15:01:53 +0000
2245,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,63,7,Impact Assessment Agency of Canada,iaac-aeic,IAA,DOE01,https://www.canada.ca/en/impact-assessment-agency.html,2025-07-16 14:02:25 +0000
2276,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,247,88,Office of the Correctional Investigator of Canada,oci-bec,OCI,,www.oci-bec.gc.ca,2025-07-16 14:02:25 +0000
2281,Office of the Information Commissioner,Commissariat à l'information au Canada,OIC,CI,256,,Office of the Information Commissioner of Canada,oic-ci,IPC,IPC00,https://www.oic-ci.gc.ca/en,2025-07-16 14:02:25 +0000
2282,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,OPC,CPVP,256,,Office of the Privacy Commissioner of Canada,opc-cpvp,OPC,IPC00,https://www.priv.gc.ca/en/,2025-07-16 14:02:25 +0000
2289,RCMP External Review Committee,Comité externe d'examen de la GRC,ERC,CEE,296,88,Royal Canadian Mounted Police External Review Committee,erc-cee,REC,,www.erc-cee.gc.ca,2025-07-16 14:02:25 +0000
2290,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,CRCC,CCETP,297,88,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,cpc-cpp,RPP,,www.crcc-ccetp.gc.ca/,2025-07-16 14:02:25 +0000
2294,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),VRAB,TACRA,333,21,Veterans Review and Appeal Board,vrab-tacra,AVC,AVC00,www.vrab-tacra.gc.ca,2025-07-16 14:02:25 +0000
3458,Charlottetown Airport Authority Inc.,Charlottetown Airport Authority Inc.,,,105,34,,,,,www.flypei.com,2025-07-16 14:02:25 +0000
3618,Canada Council for the Arts,Conseil des Arts du Canada,,,29,135,Canada Council for the Arts,,CCL,,www.canadacouncil.ca,2025-07-16 14:02:25 +0000
3619,Canadian Broadcasting Corporation,Société Radio-Canada,,,53,135,Canadian Broadcasting Corporation,,,,www.cbc.radio-canada.ca,2025-07-16 14:02:25 +0000
3620,Canadian Museum for Human Rights,Musée canadien des droits de la personne,,,81,135,Canadian Museum for Human Rights,,,,www.humanrights.ca,2025-07-16 14:02:25 +0000
3621,Canadian Museum of History,Musée canadien de l'histoire,,,82,135,,,,,www.historymuseum.ca,2025-07-16 14:02:25 +0000
3622,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,,,84,135,Canadian Museum of Immigration at Pier 21,,,,www.pier21.ca,2025-07-16 14:02:25 +0000
