gc_orgID,harmonized_name,nom_harmonisé,abbreviation,abreviation,infobaseID,rg,ati,open_gov_ouvert,pop,phoenix,website,site_web,Organization Legal Name English,Organization Legal Name French,French Name,FAA,Original English Name,Names Match,Legal title,Applied title,Titre d'usage,legal_title,org_id,Harmonize_name
2222,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,1,1,Agriculture and Agri-Food Canada,aafc-aac,AGR,AGR00,www.agr.gc.ca,www.agr.gc.ca,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Ministère de l'Agriculture et de l'Agroalimentaire,1,Department of Agriculture and Agri-Food,0,Department of Agriculture and Agri-Food,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Department of Agriculture and Agri-Food,1.0,Agriculture and Agri-Food Canada
2223,Canadian Heritage,Patrimoine canadien,PCH,PCH,122,135,Canadian Heritage,pch,PCH,PCH00,https://www.canada.ca/en/canadian-heritage.html,https://www.canada.ca/fr/patrimoine-canadien.html,Department of Canadian Heritage,Ministère du Patrimoine canadien,Ministère du Patrimoine canadien,1,Department of Canadian Heritage,0,Department of Canadian Heritage,Canadian Heritage,Patrimoine canadien,Department of Canadian Heritage,122.0,Canadian Heritage
2224,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRCC,IRCC,123,50,Immigration Refugees and Citizenship Canada,cic,IMC,IMC00,www.cic.gc.ca,www.cic.gc.ca,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Ministère de la Citoyenneté et de l'Immigration,1,Department of Citizenship and Immigration,0,Department of Citizenship and Immigration,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",Department of Citizenship and Immigration,123.0,"Immigration, Refugees and Citizenship Canada"
2225,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,124,6,Department of Finance Canada,fin,FIN,FIN00,https://www.canada.ca/en/department-finance.html,https://www.canada.ca/fr/ministere-finances.html,Department of Finance,Ministère des Finances,Ministère des Finances,1,Department of Finance,0,Department of Finance,Department of Finance Canada,Ministère des Finances Canada,Department of Finance,124.0,Department of Finance Canada
2226,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,125,86,Fisheries and Oceans Canada,dfo-mpo,DFO,DFO00,www.dfo-mpo.gc.ca,www.dfo-mpo.gc.ca,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Ministère des Pêches et des Océans,1,Department of Fisheries and Oceans,0,Department of Fisheries and Oceans,Fisheries and Oceans Canada,Pêches et Océans Canada,Department of Fisheries and Oceans,125.0,Fisheries and Oceans Canada
2227,Global Affairs Canada,Affaires mondiales Canada,GAC,AMC,126,5,Global Affairs Canada,dfatd-maecd,EXT,EXT00,www.international.gc.ca,www.international.gc.ca,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Ministère des Affaires étrangères, du Commerce et du Développement",1,"Department of Foreign Affairs, Trade and Development",0,"Department of Foreign Affairs, Trade and Development",Global Affairs Canada,Affaires mondiales Canada,"Department of Foreign Affairs, Trade and Development",126.0,Global Affairs Canada
2228,Health Canada,Santé Canada,HC,SC,127,22,Health Canada,hc-sc,SHC,NHW00,www.canada.ca/en/health-canada.html,www.canada.ca/fr/sante-canada.html,Department of Health,Ministère de la Santé,Ministère de la Santé,1,Department of Health,0,Department of Health,Health Canada,Santé Canada,Department of Health,127.0,Health Canada
2229,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,128,14,Employment and Social Development Canada,esdc-edsc,CSD,CSD00,www.canada.ca/en/employment-social-development.html,www.canada.ca/fr/emploi-developpement-social.html,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Ministère de l'Emploi et du Développement social,1,Department of Employment and Social Development,0,Department of Employment and Social Development,Employment and Social Development Canada,Emploi et Développement social Canada,Department of Employment and Social Development,128.0,Employment and Social Development Canada
2230,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,129,42,Crown-Indigenous Relations and Northern Affairs Canada,aandc-aadnc,IAN,IAN00,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,1,Department of Crown-Indigenous Relations and Northern Affairs,0,Department of Crown-Indigenous Relations and Northern Affairs,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Department of Crown-Indigenous Relations and Northern Affairs,129.0,Crown-Indigenous Relations and Northern Affairs Canada
2231,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ISED,ISDE,130,33,Innovation Science and Economic Development Canada,ic,DUS,DUS00,www.ic.gc.ca,www.ic.gc.ca,Department of Industry,Ministère de l'Industrie,Ministère de l'Industrie,1,Department of Industry,0,Department of Industry,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Department of Industry,130.0,"Innovation, Science and Economic Development Canada"
2232,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,132,13,Department of Justice Canada,jus,JUS,JUS00,www.justice.gc.ca,www.justice.gc.ca,Department of Justice,Ministère de la Justice,Ministère de la Justice,1,Department of Justice,0,Department of Justice,Department of Justice Canada,Ministère de la Justice Canada,Department of Justice,132.0,Department of Justice Canada
2233,National Defence,Défense nationale,DND,MDN,133,18,National Defence,dnd-mdn,DND,DND00,www.forces.gc.ca,www.forces.gc.ca,Department of National Defence,Ministère de la Défense nationale,Ministère de la Défense nationale,1,Department of National Defence,0,Department of National Defence,National Defence,Défense nationale,Department of National Defence,133.0,National Defence
2234,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,134,41,Natural Resources Canada,nrcan-rncan,RSN,RSN00,www.nrcan-rncan.gc.ca,www.nrcan-rncan.gc.ca,Department of Natural Resources,Ministère des Ressources naturelles,Ministère des Ressources naturelles,1,Department of Natural Resources,0,Department of Natural Resources,Natural Resources Canada,Ressources naturelles Canada,Department of Natural Resources,134.0,Natural Resources Canada
2235,Public Safety Canada,Sécurité publique Canada,PS,SP,135,88,Public Safety Canada,ps-sp,PSP,PSP00,www.publicsafety.gc.ca,www.securitepublique.gc.ca,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,Ministère de la Sécurité publique et de la Protection civile,1,Department of Public Safety and Emergency Preparedness,0,Department of Public Safety and Emergency Preparedness,Public Safety Canada,Sécurité publique Canada,Department of Public Safety and Emergency Preparedness,135.0,Public Safety Canada
2236,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,PSPC,SPAC,136,127,Public Services and Procurement Canada,pwgsc-tpsgc,SVC,SVC00,www.tpsgc-pwgsc.gc.ca,www.tpsgc-pwgsc.gc.ca,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,Ministère des Travaux publics et des Services gouvernementaux,1,Department of Public Works and Government Services,0,Department of Public Works and Government Services,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,Department of Public Works and Government Services,136.0,Public Services and Procurement Canada
2237,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC,ECCC,137,7,Environment and Climate Change Canada,ec,DOE,DOE00,www.canada.ca/en/environment-climate-change.html,www.canada.ca/fr/environnement-changement-climatique.html,Department of the Environment,Ministère de l'Environnement,Ministère de l'Environnement,1,Department of the Environment,0,Department of the Environment,Environment and Climate Change Canada,Environnement et Changement climatique Canada,Department of the Environment,137.0,Environment and Climate Change Canada
2238,Transport Canada,Transports Canada,TC,TC,138,34,Transport Canada,tc,MOT,MOT00,www.tc.gc.ca,www.tc.gc.ca,Department of Transport,Ministère des Transports,Ministère des Transports,1,Department of Transport,0,Department of Transport,Transport Canada,Transports Canada,Department of Transport,138.0,Transport Canada
2239,Veterans Affairs Canada,Anciens Combattants Canada,VAC,ACC,139,21,Veterans Affairs Canada,vac-acc,DVA,DVA00,www.veterans.gc.ca,www.veterans.gc.ca,Department of Veterans Affairs,Ministère des Anciens Combattants,Ministère des Anciens Combattants,1,Department of Veterans Affairs,0,Department of Veterans Affairs,Veterans Affairs Canada,Anciens Combattants Canada,Department of Veterans Affairs,139.0,Veterans Affairs Canada
2240,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,PrairiesCan,PrairiesCan,140,44,Prairies Economic Development Canada (PrairiesCan),prairiescan,WCO,WCO00,https://www.canada.ca/en/prairies-economic-development.html,https://www.canada.ca/fr/developpement-economique-prairies.html,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,Ministère de la Diversification de l'économie de l'Ouest canadien,1,Department of Western Economic Diversification,0,Department of Western Economic Diversification,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,Department of Western Economic Diversification,140.0,Prairies Economic Development Canada
2241,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,WAGE,FEGC,246,190,Women and Gender Equality Canada,wage,CSW,CSW00,www.swc-cfc.gc.ca,www.cfc-swc.gc.ca,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,Ministère des Femmes et de l'Égalité des genres,1,Department for Women and Gender Equality,0,Department for Women and Gender Equality,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,Department for Women and Gender Equality,246.0,Women and Gender Equality Canada
2242,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,TBS,SCT,326,56,Treasury Board of Canada Secretariat,tbs-sct,TBD,TBD00,www.canada.ca/en/treasury-board-secretariat/index.html,www.canada.ca/fr/secretariat-conseil-tresor/index.html,Treasury Board Secretariat,Secrétariat du Conseil du Trésor,,,,0,Treasury Board Secretariat,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,Treasury Board Secretariat,326.0,Treasury Board of Canada Secretariat
2243,Indigenous Services Canada,Services aux Autochtones Canada,ISC,SAC,348,191,Indigenous Services Canada,isc-sac,DIS,DIS00,www.canada.ca/en/indigenous-services-canada.html,www.canada.ca/fr/services-autochtones-canada.html,Department of Indigenous Services,Ministère des Services aux Autochtones,Ministère des Services aux Autochtones,1,Department of Indigenous Services,0,Department of Indigenous Services,Indigenous Services Canada,Services aux Autochtones Canada,Department of Indigenous Services,348.0,Indigenous Services Canada
2244,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,ACOA,APECA,12,23,Atlantic Canada Opportunities Agency,acoa-apeca,ACO,ACO00,www.acoa-apeca.gc.ca,www.acoa-apeca.gc.ca,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Agence de promotion économique du Canada atlantique,1.1,Atlantic Canada Opportunities Agency,0,Atlantic Canada Opportunities Agency,,,Atlantic Canada Opportunities Agency,12.0,Atlantic Canada Opportunities Agency
2245,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,63,,Impact Assessment Agency of Canada,iaac-aeic,IAA,DOE01,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,Agence canadienne d'évaluation d'impact,1.1,Impact Assessment Agency of Canada,0,Impact Assessment Agency of Canada,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,Impact Assessment Agency of Canada,63.0,Impact Assessment Agency of Canada
2246,Canadian Grain Commission,Commission canadienne des grains,CGC,CCG,69,133,Canadian Grain Commission,cgc-ccg,CGC,CGC00,www.grainscanada.gc.ca,www.grainscanada.gc.ca,Canadian Grain Commission,Commission canadienne des grains,Commission canadienne des grains,1.1,Canadian Grain Commission,0,Canadian Grain Commission,,,Canadian Grain Commission,69.0,Canadian Grain Commission
