gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
2222,Agriculture and Agri-Food Canada,,Department of Agriculture and Agri-Food,,Agriculture and Agri-Food Canada,,Agriculture and Agri-Food Canada,,AAFC,AAC,1,a
2223,Canadian Heritage,,Department of Canadian Heritage,,Canadian Heritage,,Canadian Heritage,,PCH,PCH,1,a
2224,"Immigration, Refugees and Citizenship Canada",,Department of Citizenship and Immigration,,"Immigration, Refugees and Citizenship Canada",,"Immigration, Refugees and Citizenship Canada",,IRCC,IRCC,1,a
2225,Department of Finance Canada,,Department of Finance,,Department of Finance Canada,,Department of Finance Canada,,FIN,FIN,1,a
2226,Fisheries and Oceans Canada,,Department of Fisheries and Oceans,,Fisheries and Oceans Canada,,Fisheries and Oceans Canada,,DFO,MPO,1,a
2227,Global Affairs Canada,,"Department of Foreign Affairs, Trade and Development",,Global Affairs Canada,,Global Affairs Canada,,GAC,AMC,1,a
2228,Health Canada,,Department of Health,,Health Canada,,Health Canada,,HC,SC,1,a
2229,Employment and Social Development Canada,,Department of Employment and Social Development,,Employment and Social Development Canada,,Employment and Social Development Canada,,ESDC,EDSC,1,a
2230,Crown-Indigenous Relations and Northern Affairs Canada,,Department of Crown-Indigenous Relations and Northern Affairs,,Crown-Indigenous Relations and Northern Affairs Canada,,Crown-Indigenous Relations and Northern Affairs Canada,,CIRNAC,RCAANC,1,a
2231,"Innovation, Science and Economic Development Canada",,Department of Industry,,"Innovation, Science and Economic Development Canada",,"Innovation, Science and Economic Development Canada",,ISED,ISDE,1,a
2232,Department of Justice Canada,,Department of Justice,,Department of Justice Canada,,Department of Justice Canada,,JUS,JUS,1,a
2233,National Defence,,Department of National Defence,,National Defence,,National Defence,,DND,MDN,1,a
2234,Natural Resources Canada,,Department of Natural Resources,,Natural Resources Canada,,Natural Resources Canada,,NRCan,RNCan,1,a
2235,Public Safety Canada,,Department of Public Safety and Emergency Preparedness,,Public Safety Canada,,Public Safety Canada,,PS,SP,1,a
2236,Public Services and Procurement Canada,,Department of Public Works and Government Services,,Public Services and Procurement Canada,,Public Services and Procurement Canada,,PSPC,SPAC,1,a
2237,Environment and Climate Change Canada,,Department of the Environment,,Environment and Climate Change Canada,,Environment and Climate Change Canada,,ECCC,ECCC,1,a
2238,Transport Canada,,Department of Transport,,Transport Canada,,Transport Canada,,TC,TC,1,a
2239,Veterans Affairs Canada,,Department of Veterans Affairs,,Veterans Affairs Canada,,Veterans Affairs Canada,,VAC,ACC,1,a
2240,Prairies Economic Development Canada,,Department of Western Economic Diversification,,Prairies Economic Development Canada,,,,PrairiesCan,PrairiesCan,1,a
2241,Women and Gender Equality Canada,,Department for Women and Gender Equality,,Women and Gender Equality Canada,,Women and Gender Equality Canada,,WAGE,FEGC,1,a
2242,Treasury Board of Canada Secretariat,,Treasury Board Secretariat,,Treasury Board of Canada Secretariat,,Treasury Board of Canada Secretariat,,TBS,SCT,,a
2243,Indigenous Services Canada,,Department of Indigenous Services,,Indigenous Services Canada,,Indigenous Services Canada,,ISC,SAC,1,a
