gc_orgID,harmonized_name_info,harmonized_name_concordance,nom_harmonisé_info,nom_harmonisé_concordance
2222.0,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,,Agriculture et Agroalimentaire Canada
2223.0,Canadian Heritage,Canadian Heritage,,Patrimoine canadien
2224.0,"Immigration, Refugees and Citizenship Canada","Immigration, Refugees and Citizenship Canada",,"Immigration, Réfugiés et Citoyenneté Canada"
2225.0,Department of Finance Canada,Department of Finance Canada,,Ministère des Finances Canada
2226.0,Fisheries and Oceans Canada,Fisheries and Oceans Canada,,Pêches et Océans Canada
2227.0,Global Affairs Canada,Global Affairs Canada,,Affaires mondiales Canada
2228.0,Health Canada,Health Canada,,Santé Canada
2229.0,Employment and Social Development Canada,Employment and Social Development Canada,,Emploi et Développement social Canada
2230.0,Crown-Indigenous Relations and Northern Affairs Canada,Crown-Indigenous Relations and Northern Affairs Canada,,Relations Couronne-Autochtones et Affaires du Nord Canada
2231.0,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada",,"Innovation, Sciences et Développement économique Canada"
2232.0,Department of Justice Canada,Department of Justice Canada,,Ministère de la Justice Canada
2233.0,National Defence,National Defence,,Défense nationale
2234.0,Natural Resources Canada,Natural Resources Canada,,Ressources naturelles Canada
2235.0,Public Safety Canada,Public Safety Canada,,Sécurité publique Canada
2236.0,Public Services and Procurement Canada,Public Services and Procurement Canada,,Services publics et Approvisionnement Canada
2237.0,Environment and Climate Change Canada,Environment and Climate Change Canada,,Environnement et Changement climatique Canada
2238.0,Transport Canada,Transport Canada,,Transports Canada
2239.0,Veterans Affairs Canada,Veterans Affairs Canada,,Anciens Combattants Canada
2240.0,Prairies Economic Development Canada,Prairies Economic Development Canada,,Développement économique Canada pour les Prairies
2241.0,Women and Gender Equality Canada,Women and Gender Equality Canada,,Femmes et Égalité des genres Canada
2242.0,Treasury Board of Canada Secretariat,Treasury Board of Canada Secretariat,,Secrétariat du Conseil du Trésor du Canada
2243.0,Indigenous Services Canada,Indigenous Services Canada,,Services aux Autochtones Canada
2244.0,Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency,,Agence de promotion économique du Canada atlantique
2245.0,Impact Assessment Agency of Canada,Impact Assessment Agency of Canada,,Agence d'évaluation d'impact du Canada
2246.0,Canadian Grain Commission,Canadian Grain Commission,,Commission canadienne des grains
2247.0,Canadian Human Rights Commission,Canadian Human Rights Commission,,Commission canadienne des droits de la personne
2248.0,Canadian Intergovernmental Conference Secretariat,Canadian Intergovernmental Conference Secretariat,,Secrétariat des conférences intergouvernementales canadiennes
2249.0,Canadian Northern Economic Development Agency,Canadian Northern Economic Development Agency,,Agence canadienne de développement économique du Nord
2250.0,Canadian Security Intelligence Service,Canadian Security Intelligence Service,,Service canadien du renseignement de sécurité
2251.0,Canadian Space Agency,Canadian Space Agency,,Agence spatiale canadienne
2252.0,Canadian Transportation Agency,Canadian Transportation Agency,,Office des transports du Canada
2253.0,Communications Security Establishment Canada,Communications Security Establishment Canada,,Centre de la sécurité des télécommunications Canada
2254.0,Copyright Board Canada,Copyright Board Canada,,Commission du droit d'auteur Canada
2255.0,Correctional Service Canada,Correctional Service Canada,,Service correctionnel Canada
2256.0,Courts Administration Service,Courts Administration Service,,Service administratif des tribunaux judiciaires
